ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;mortality_rate;recovery_rate
3175071001;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;DUREN SAWIT;5493;6;5346;108;0,019661387;0,973238667
3174081004;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;DUREN TIGA;2470;0;2420;37;0,014979757;0,979757085
3173051005;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;DURI KEPA;4279;21;4142;73;0,017060061;0,967983174
3173011002;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;DURI KOSAMBI;4844;3;4742;79;0,016308836;0,978943022
3171011006;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;DURI PULO;1493;3;1442;29;0,019423979;0,965840589
3173041011;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI SELATAN;889;4;850;18;0,020247469;0,956130484
3173041003;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI UTARA;1324;7;1267;24;0,018126888;0,95694864
3171081003;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;GALUR;1120;1;1094;22;0,019642857;0,976785714
3171011001;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;GAMBIR;1246;2;1227;13;0,010433387;0,984751204
3174061004;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;GANDARIA SELATAN;2066;3;2019;32;0,015488867;0,977250726
3174071009;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GANDARIA UTARA;3462;2;3376;53;0,01530907;0,975158868
3175051001;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;GEDONG;3318;3;3240;65;0,019590115;0,976491863
3171071001;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;GELORA;528;1;517;7;0,013257576;0,979166667
3173031007;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;GLODOK;818;2;797;18;0,02200489;0,974327628
3171061004;DKI JAKARTA;JAKARTA PUSAT;MENTENG;GONDANGDIA;689;4;663;8;0,01161103;0,962264151
3173021001;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;GROGOL;2328;4;2277;41;0,017611684;0,978092784
3174051005;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL SELATAN;3024;4;2954;50;0,016534392;0,976851852
3174051004;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL UTARA;3064;3;2984;59;0,019255875;0,973890339
3174021007;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;GUNTUR;454;0;447;7;0,015418502;0,984581498
3174071002;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GUNUNG;2372;3;2342;25;0,010539629;0,987352445
3171031005;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;GUNUNG SAHARI SELATAN;1995;3;1947;35;0,01754386;0,97593985
3171021004;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;GUNUNG SAHARI UTARA;1769;8;1712;38;0,021481063;0,967778406
3175081004;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;HALIM PERDANA KUSUMAH;4236;20;4146;52;0,012275732;0,978753541
3171031003;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;HARAPAN MULIA;1955;2;1908;40;0,020460358;0,975959079
3174091001;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;JAGAKARSA;6651;3;6528;100;0,015035333;0,98150654
3175021007;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATI;2928;6;2842;58;0,019808743;0,970628415
3174041002;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;3454;2;3384;59;0,017081644;0,979733642
3173071004;DKI JAKARTA;JAKARTA BARAT;PALMERAH;JATI PULO;1788;2;1727;49;0,027404922;0,965883669
3175061001;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;JATINEGARA;4164;6;4078;73;0,01753122;0,979346782
3175021004;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATINEGARA KAUM;1691;2;1649;36;0,021289178;0,975162626
3173021004;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR;3400;11;3317;53;0,015588235;0,975588235
3173021006;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR BARU;3264;11;3195;40;0,012254902;0,978860294
3173041006;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN BESI;1607;4;1541;27;0,016801493;0,958929683
